Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2016,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2016,590,McDowell County Schools,,410,368,87,95,"2,633","2,356",,"6,245",,,,,,
2016,600,Charlotte-Mecklenburg County Schools,,"16,462","15,584","29,358","28,526","21,743","21,172",,"145,952",,,,,,
2016,610,Mitchell County Schools,,83,80,4,1,904,786,,"1,896",,,,,,
2016,620,Montgomery County Schools,,693,644,410,382,865,829,,"4,019",,,,,,
2016,630,Moore County Schools,,818,780,"1,122","1,047","4,320","4,003",,"12,830",,,,,,
2016,640,Nash-Rocky Mount Schools,,979,881,"4,163","3,942","2,660","2,342",,"15,657",,,,,,
2016,650,New Hanover County Schools,,"1,575","1,578","2,724","2,637","8,297","7,780",,"26,087",,,,,,
2016,660,Northampton County Schools,,44,33,758,661,155,134,,"1,857",,,,,,
2016,670,Onslow County Schools,,"1,779","1,694","2,601","2,381","7,635","7,302",,"25,980",,,,,,
2016,680,Orange County Schools,,752,738,610,546,"2,395","2,089",,"7,534",,,,,,
2016,681,Chapel-Hill/Carrboro City Schools,,968,908,676,647,"3,204","2,994",,"11,982",,,,,,
2016,690,Pamlico County Schools,,45,54,156,137,407,414,,"1,295",,,,,,
2016,700,Pasquotank County Schools,,196,204,"1,317","1,222","1,289","1,221",,"5,786",,,,,,
2016,710,Pender County Schools,,589,566,668,679,"3,136","2,953",,"8,985",,,,,,
2016,720,Perquimans County Schools,,27,27,227,237,578,544,,"1,708",,,,,,
2016,730,Person County Schools,,203,195,838,759,"1,274","1,082",,"4,604",,,,,,
2016,740,Pitt County Schools,,"1,337","1,272","5,744","5,571","4,402","3,924",,"23,474",,,,,,
2016,750,Polk County Schools,,137,123,71,51,861,835,,"2,176",,,,,,
2016,760,Randolph County Schools,,"1,512","1,421",361,300,"6,858","6,244",,"17,631",,,,,,
2016,761,Asheboro City Schools,,"1,104",989,345,326,831,827,,"4,713",,,,,,
2016,770,Richmond County Schools,,395,405,"1,352","1,330","1,704","1,617",,"7,431",,,,,,
2016,780,Robeson County Schools,,"1,794","1,682","2,989","2,786","1,660","1,563",,"23,445",,,,,,
2016,790,Rockingham County Schools,,874,768,"1,256","1,171","4,045","3,844",,"12,733",,,,,,
2016,800,Rowan-Salisbury County Schools,,"1,552","1,516","1,966","1,701","6,248","5,765",,"19,727",,,,,,
2016,810,Rutherford County Schools,,298,270,524,474,"3,186","2,924",,"8,285",,,,,,
2016,820,Sampson County Schools,,"1,582","1,453",866,772,"1,725","1,678",,"8,452",,,,,,
2016,821,Clinton City Schools,,399,412,611,558,436,431,,"3,065",,,,,,
2016,830,Scotland County Schools,,86,82,"1,403","1,285",953,817,,"5,871",,,,,,
2016,840,Stanly County Schools,,342,374,555,545,"3,172","2,902",,"8,582",,,,,,
2016,850,Stokes County Schools,,134,152,103,82,"2,843","2,645",,"6,184",,,,,,
2016,860,Surry County Schools,,934,910,107,88,"3,006","2,953",,"8,215",,,,,,
2016,861,Elkin City Schools,,121,113,25,22,451,414,,"1,199",,,,,,
2016,862,Mount Airy City Schools,,153,138,70,70,555,536,,"1,605",,,,,,
