Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2014,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2014,590,McDowell County Schools,,367,333,99,94,"2,644","2,482",,"6,348",,,,,,
2014,600,Charlotte-Mecklenburg County Schools,,"14,260","13,564","29,894","29,072","22,314","21,715",,"142,991",,,,,,
2014,610,Mitchell County Schools,,84,82,3,0,935,810,,"1,959",,,,,,
2014,620,Montgomery County Schools,,678,636,428,417,906,900,,"4,141",,,,,,
2014,630,Moore County Schools,,792,757,"1,178","1,078","4,357","4,047",,"12,907",,,,,,
2014,640,Nash-Rocky Mount Schools,,861,794,"4,064","3,957","2,909","2,571",,"16,038",,,,,,
2014,650,New Hanover County Schools,,"1,315","1,293","2,873","2,729","8,066","7,627",,"25,426",,,,,,
2014,660,Northampton County Schools,,43,22,837,770,180,143,,"2,053",,,,,,
2014,670,Onslow County Schools,,"1,518","1,414","2,552","2,283","7,682","7,348",,"25,161",,,,,,
2014,680,Orange County Schools,,629,631,603,572,"2,480","2,264",,"7,578",,,,,,
2014,681,Chapel-Hill/Carrboro City Schools,,911,841,721,651,"3,321","3,068",,"12,166",,,,,,
2014,690,Pamlico County Schools,,34,42,153,139,423,407,,"1,278",,,,,,
2014,700,Pasquotank County Schools,,160,148,"1,264","1,228","1,314","1,241",,"5,688",,,,,,
2014,710,Pender County Schools,,522,488,699,741,"3,073","2,878",,"8,747",,,,,,
2014,720,Perquimans County Schools,,20,26,270,272,566,569,,"1,782",,,,,,
2014,730,Person County Schools,,188,198,839,777,"1,237","1,106",,"4,596",,,,,,
2014,740,Pitt County Schools,,"1,213","1,157","5,693","5,536","4,658","4,193",,"23,622",,,,,,
2014,750,Polk County Schools,,139,139,74,57,896,875,,"2,269",,,,,,
2014,760,Randolph County Schools,,"1,409","1,323",348,315,"7,217","6,626",,"18,099",,,,,,
2014,761,Asheboro City Schools,,980,934,351,342,911,938,,"4,724",,,,,,
2014,770,Richmond County Schools,,370,357,"1,425","1,372","1,785","1,657",,"7,627",,,,,,
2014,780,Robeson County Schools,,"1,611","1,505","3,069","2,903","1,780","1,680",,"23,586",,,,,,
2014,790,Rockingham County Schools,,799,718,"1,344","1,242","4,263","3,979",,"13,121",,,,,,
2014,800,Rowan-Salisbury County Schools,,"1,404","1,316","1,954","1,750","6,418","6,037",,"19,831",,,,,,
2014,810,Rutherford County Schools,,281,276,552,504,"3,264","3,028",,"8,534",,,,,,
2014,820,Sampson County Schools,,"1,478","1,394",910,804,"1,834","1,745",,"8,583",,,,,,
2014,821,Clinton City Schools,,329,324,622,572,500,477,,"3,055",,,,,,
2014,830,Scotland County Schools,,74,74,"1,477","1,311",975,922,,"6,068",,,,,,
2014,840,Stanly County Schools,,294,310,536,549,"3,290","2,996",,"8,658",,,,,,
2014,850,Stokes County Schools,,146,140,118,89,"2,936","2,826",,"6,512",,,,,,
2014,860,Surry County Schools,,859,860,99,85,"3,179","3,024",,"8,328",,,,,,
2014,861,Elkin City Schools,,109,112,28,19,462,442,,"1,221",,,,,,
2014,862,Mount Airy City Schools,,159,129,75,85,585,558,,"1,691",,,,,,
2014,870,Swain County Schools,,37,41,20,9,700,627,,"2,016",,,,,,
2014,880,Transylvania County Schools,,112,100,79,96,"1,494","1,421",,"3,520",,,,,,
2014,890,Tyrrell County Schools,,40,43,91,90,126,107,,545,,,,,,
2014,900,Union County Schools,,"3,136","3,033","2,740","2,521","14,266","13,342",,"41,116",,,,,,
2014,910,Vance County Schools,,431,429,"2,083","1,994",779,653,,"6,591",,,,,,
2014,920,Wake County Schools,,"12,245","11,790","18,984","18,497","38,430","36,213",,"153,545",,,,,,
2014,930,Warren County Schools,,93,78,805,790,206,202,,"2,383",,,,,,
2014,940,Washington County Schools,,68,60,608,548,179,169,,"1,670",,,,,,
2014,950,Watauga County Schools,,164,155,38,19,"1,921","1,834",,"4,325",,,,,,
2014,960,Wayne County Schools,,"1,819","1,734","3,446","3,269","4,073","3,633",,"19,221",,,,,,
2014,970,Wilkes County Schools,,642,656,211,204,"4,030","3,810",,"9,902",,,,,,
2014,980,Wilson County Schools,,996,962,"2,866","2,767","2,202","2,085",,"12,387",,,,,,
2014,990,Yadkin County Schools,,608,575,86,75,"2,101","1,882",,"5,483",,,,,,
2014,995,Yancey County Schools,,150,114,10,5,"1,075",924,,"2,318",,,,,,
Total,,,,"109,587","104,831","191,611","184,061","380,704","355,416",,"1,442,742",,,,,,
,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
