County,Household_Income_2012,Household_Income_2013,Household_Income_2014,Household_Income_2015,Household_Income_2016,Household_Income_2017
Northampton,"$32,168 ","$31,668 ","$31,217 ","$31,732 ","$32,100 ","$33,300 "
Onslow,"$41,969 ","$45,434 ","$44,263 ","$45,213 ","$47,200 ","$46,100 "
Orange,"$51,434 ","$56,792 ","$53,026 ","$59,472 ","$60,300 ","$61,600 "
Pamlico,"$41,442 ","$41,325 ","$41,004 ","$43,517 ","$43,100 ","$41,000 "
Pasquotank,"$39,381 ","$40,261 ","$43,935 ","$40,094 ","$44,600 ","$42,200 "
Pender,"$43,573 ","$44,171 ","$43,318 ","$44,949 ","$45,500 ","$49,400 "
Perquimans,"$40,772 ","$39,112 ","$42,494 ","$42,504 ","$41,300 ","$42,300 "
Person,"$42,621 ","$42,303 ","$42,546 ","$42,091 ","$45,800 ","$43,900 "
Pitt,"$39,519 ","$39,713 ","$39,343 ","$40,940 ","$41,800 ","$41,900 "
Polk,"$44,756 ","$41,851 ","$41,719 ","$43,665 ","$45,500 ","$45,700 "
Randolph,"$39,648 ","$40,749 ","$41,815 ","$40,896 ","$41,800 ","$43,200 "
Richmond,"$31,568 ","$32,932 ","$30,726 ","$32,825 ","$34,700 ","$33,000 "
Robeson,"$30,627 ","$30,931 ","$29,965 ","$30,248 ","$30,400 ","$32,100 "
Rockingham,"$38,063 ","$36,746 ","$37,577 ","$40,446 ","$39,600 ","$40,100 "
Rowan,"$38,658 ","$40,267 ","$40,400 ","$41,475 ","$45,000 ","$44,900 "
Rutherford,"$35,057 ","$35,208 ","$34,193 ","$35,544 ","$35,600 ","$37,000 "
Sampson,"$37,047 ","$36,471 ","$37,420 ","$35,890 ","$33,900 ","$40,700 "
Scotland,"$31,805 ","$32,999 ","$31,704 ","$32,314 ","$32,800 ","$35,400 "
Stanly,"$42,854 ","$38,301 ","$42,816 ","$42,801 ","$41,900 ","$44,900 "
Stokes,"$43,178 ","$42,147 ","$42,272 ","$44,552 ","$45,100 ","$42,900 "
Surry,"$36,622 ","$35,269 ","$36,934 ","$36,221 ","$37,900 ","$38,400 "
Swain,"$36,109 ","$36,167 ","$36,280 ","$34,552 ","$34,800 ","$36,100 "
Transylvania,"$40,652 ","$41,578 ","$40,642 ","$40,578 ","$44,500 ","$45,800 "
Tyrrell,"$31,732 ","$33,430 ","$30,728 ","$32,642 ","$32,800 ","$33,800 "
Union,"$64,486 ","$61,515 ","$61,260 ","$63,912 ","$64,400 ","$71,700 "
Vance,"$34,000 ","$33,377 ","$34,371 ","$35,565 ","$33,600 ","$32,700 "
Wake,"$61,594 ","$62,436 ","$64,107 ","$65,433 ","$67,000 ","$70,600 "
Warren,"$32,574 ","$33,218 ","$33,068 ","$33,767 ","$33,900 ","$34,100 "
Washington,"$33,293 ","$33,278 ","$32,545 ","$31,596 ","$32,900 ","$35,100 "
Watauga,"$38,923 ","$39,168 ","$38,563 ","$38,380 ","$41,900 ","$41,800 "
Wayne,"$40,274 ","$39,089 ","$38,776 ","$41,526 ","$36,900 ","$41,200 "
Wilkes,"$34,886 ","$34,954 ","$35,362 ","$35,895 ","$33,400 ","$40,600 "
Wilson,"$36,645 ","$37,166 ","$37,440 ","$40,772 ","$39,300 ","$41,300 "
Yadkin,"$41,095 ","$40,983 ","$40,012 ","$40,998 ","$40,800 ","$41,200 "
Yancey,"$36,934 ","$36,440 ","$36,019 ","$35,866 ","$36,000 ","$36,400 "
