County,hispanic_percent,black_percent,white_percent,other_percent,Total
Vance,12.91837933,61.42102173,22.28420435,3.376394598,"6,812"
Wake,15.41088552,24.43416189,49.1569347,10.99801789,"149,336"
Warren,6.451612903,66.8202765,17.51152074,9.216589862,"2,387"
Washington,7.276995305,68.60328638,22.0657277,2.05399061,"1,704"
Watauga,6.848389277,1.03626943,87.7900428,4.325298491,"4,439"
Wayne,17.84338228,34.54128918,40.87264397,6.742684578,"19,206"
Wilkes,12.36330498,4.141352774,80.20453625,3.290805994,"9,876"
Wilson,15.50431347,45.27130533,35.16084818,4.063533016,"12,403"
Yadkin,20.47678349,3.326810176,73.93702188,2.259384451,"5,621"
Yancey,10.69706269,0.832967996,86.54099079,1.928978518,"2,281"
,,,,,
