Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2015,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2015,590,McDowell County Schools,,394,344,92,91,"2,660","2,445",,"6,338",,,,,,
2015,600,Charlotte-Mecklenburg County Schools,,"15,690","14,779","29,907","28,893","22,076","21,456",,"145,363",,,,,,
2015,610,Mitchell County Schools,,82,80,5,1,933,815,,"1,954",,,,,,
2015,620,Montgomery County Schools,,676,652,420,409,871,872,,"4,087",,,,,,
2015,630,Moore County Schools,,829,776,"1,125","1,072","4,348","4,040",,"12,906",,,,,,
2015,640,Nash-Rocky Mount Schools,,954,856,"4,137","3,938","2,814","2,467",,"15,904",,,,,,
2015,650,New Hanover County Schools,,"1,476","1,493","2,838","2,694","8,250","7,776",,"26,050",,,,,,
2015,660,Northampton County Schools,,42,23,810,726,175,139,,"1,992",,,,,,
2015,670,Onslow County Schools,,"1,655","1,540","2,580","2,336","7,714","7,386",,"25,615",,,,,,
2015,680,Orange County Schools,,698,676,612,588,"2,397","2,195",,"7,525",,,,,,
2015,681,Chapel-Hill/Carrboro City Schools,,941,876,681,645,"3,292","3,033",,"12,090",,,,,,
2015,690,Pamlico County Schools,,32,42,148,144,421,395,,"1,265",,,,,,
2015,700,Pasquotank County Schools,,195,174,"1,307","1,243","1,317","1,243",,"5,799",,,,,,
2015,710,Pender County Schools,,550,512,692,713,"3,133","2,908",,"8,837",,,,,,
2015,720,Perquimans County Schools,,24,29,244,259,566,540,,"1,726",,,,,,
2015,730,Person County Schools,,204,200,845,761,"1,278","1,088",,"4,620",,,,,,
2015,740,Pitt County Schools,,"1,310","1,246","5,816","5,610","4,581","4,070",,"23,843",,,,,,
2015,750,Polk County Schools,,151,137,71,52,898,868,,"2,268",,,,,,
2015,760,Randolph County Schools,,"1,485","1,387",342,322,"7,052","6,459",,"17,929",,,,,,
2015,761,Asheboro City Schools,,"1,076",968,343,307,899,882,,"4,753",,,,,,
2015,770,Richmond County Schools,,395,391,"1,418","1,360","1,744","1,645",,"7,564",,,,,,
2015,780,Robeson County Schools,,"1,698","1,621","3,042","2,882","1,674","1,603",,"23,588",,,,,,
2015,790,Rockingham County Schools,,851,756,"1,330","1,225","4,180","3,910",,"13,032",,,,,,
2015,800,Rowan-Salisbury County Schools,,"1,503","1,442","1,961","1,751","6,383","5,967",,"19,956",,,,,,
2015,810,Rutherford County Schools,,294,276,558,496,"3,200","2,943",,"8,368",,,,,,
2015,820,Sampson County Schools,,"1,543","1,486",886,773,"1,776","1,724",,"8,588",,,,,,
2015,821,Clinton City Schools,,362,380,606,562,468,447,,"3,060",,,,,,
2015,830,Scotland County Schools,,83,77,"1,462","1,299",969,883,,"6,010",,,,,,
2015,840,Stanly County Schools,,315,344,584,563,"3,255","2,967",,"8,672",,,,,,
2015,850,Stokes County Schools,,151,146,114,88,"2,922","2,782",,"6,446",,,,,,
2015,860,Surry County Schools,,886,895,103,86,"3,137","2,957",,"8,289",,,,,,
2015,861,Elkin City Schools,,108,108,33,20,466,445,,"1,230",,,,,,
2015,862,Mount Airy City Schools,,156,137,67,73,553,556,,"1,632",,,,,,
2015,870,Swain County Schools,,45,51,21,7,677,624,,"1,994",,,,,,
2015,880,Transylvania County Schools,,123,98,85,92,"1,499","1,426",,"3,537",,,,,,
2015,890,Tyrrell County Schools,,42,49,97,97,128,102,,576,,,,,,
2015,900,Union County Schools,,"3,354","3,139","2,779","2,580","14,102","13,172",,"41,379",,,,,,
2015,910,Vance County Schools,,428,426,"2,050","2,016",749,612,,"6,501",,,,,,
2015,920,Wake County Schools,,"12,990","12,379","18,999","18,557","38,453","36,082",,"155,074",,,,,,
2015,930,Warren County Schools,,92,80,778,771,224,190,,"2,346",,,,,,
2015,940,Washington County Schools,,76,60,580,541,165,155,,"1,609",,,,,,
2015,950,Watauga County Schools,,192,152,31,18,"1,923","1,839",,"4,329",,,,,,
2015,960,Wayne County Schools,,"1,951","1,816","3,464","3,244","3,964","3,505",,"19,021",,,,,,
2015,970,Wilkes County Schools,,649,655,214,197,"4,081","3,729",,"9,890",,,,,,
2015,980,Wilson County Schools,,"1,085","1,072","2,817","2,756","2,104","1,968",,"12,341",,,,,,
2015,990,Yadkin County Schools,,642,577,91,75,"2,048","1,845",,"5,423",,,,,,
2015,995,Yancey County Schools,,148,128,11,4,"1,016",899,,"2,235",,,,,,
Total,,,,"117,151","111,544","191,529","183,433","376,689","350,800",,"1,446,936",,,,,,
,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
