County,Math_2011,CR_2011,Writing_2011,Total_2011,Math_2012,CR_2012,Writing_2012,Total_2012,Math_2013,CR_2013,Writing_2013,Total_2013,Math_2014,CR_2014,Writing_2014,Total_2014,Math_2015,CR_2015,Writing_2015,Total_2015,Math_2016,CR_2016,Writing_2016,total_2016,ERW_2017,Math_2017,Total_2017
 Henderson ,522,518,492,1532,529,513,488,1530,513,510,491,1514,463,469,452,1384,457,473,457,1387,465,463,420,1348,548,551,1098
 Hertford ,412,393,377,1182,391,387,380,1158,409,411,402,1222,518,499,474,1491,521,521,485,1527,516,510,480,1506,435,420,855
 Hoke ,451,441,425,1317,444,442,420,1306,448,435,421,1304,506,505,486,1497,520,512,499,1531,534,517,494,1545,476,464,941
 Hyde ,458,453,425,1336,493,460,439,1392,471,432,415,1318,517,520,501,1538,508,524,512,1544,443,451,423,1317,501,512,1012
 Iredell ,524,502,480,1506,528,507,484,1519,531,510,487,1528,413,404,408,1225,433,434,429,1296,476,471,427,1374,560,554,1114
 Jackson ,513,495,472,1480,509,502,483,1494,503,494,468,1465,529,533,491,1553,510,527,506,1543,528,470,458,1456,0,0,0
 Johnston ,517,492,470,1479,512,487,460,1459,507,494,470,1471,547,540,511,1598,529,508,506,1543,465,431,396,1292,550,552,1101
 Jones ,467,439,420,1326,477,421,406,1304,452,450,417,1319,485,449,430,1364,525,480,450,1455,521,501,467,1489,528,516,1044
 Lee ,497,476,448,1421,493,470,445,1408,490,479,459,1428,481,466,446,1393,460,456,436,1352,488,478,445,1411,522,506,1028
 Lenoir  ,468,444,420,1332,476,464,438,1378,460,447,428,1335,455,437,406,1298,497,457,436,1390,483,470,441,1394,0,0,0
 Lincoln ,513,478,456,1447,508,480,456,1444,497,476,456,1429,496,490,468,1454,486,472,454,1412,514,512,477,1503,516,514,1030
 Macon ,505,494,464,1463,502,497,474,1473,492,506,484,1482,515,499,468,1482,509,495,464,1468,504,501,483,1488,529,504,1033
 Madison ,510,498,461,1469,490,489,455,1434,490,493,466,1449,520,530,487,1537,517,521,508,1546,486,514,484,1484,486,474,960
 Martin ,474,441,418,1333,472,434,410,1316,480,439,430,1349,502,507,483,1492,509,539,501,1549,480,506,457,1443,562,540,1102
 McDowell ,495,477,460,1432,496,485,466,1447,493,481,473,1447,509,507,478,1494,500,500,465,1465,405,405,371,1181,596,599,1194
 Mecklenburg ,507,495,480,1482,503,487,473,1463,503,493,477,1473,468,437,412,1317,462,438,421,1321,497,501,466,1464,487,471,958
 Mitchell ,485,494,447,1426,493,478,449,1420,504,505,467,1476,567,551,536,1654,562,540,524,1626,0,0,0,0,544,504,1048
 Montgomery ,446,418,417,1281,467,439,425,1331,435,426,416,1277,384,337,361,1082,363,364,343,1070,416,384,363,1163,510,502,1012
 Moore ,521,504,481,1506,508,488,471,1467,512,505,480,1497,508,522,473,1503,502,508,480,1490,491,486,456,1433,545,535,1081
