County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Chatham,27.92559744,12.47844297,54.71791082,4.87804878,8118,29.18945194,12.164297,53.16563373,5.480617329,8229,30.12637101,12.27944683,52.31282785,5.281354316,8388,30.36643026,11.95035461,52.04491726,5.638297872,8460,31.53872476,11.52047451,51.07790578,5.86289495,8767
Chowan,4.906333631,42.77430865,48.34968778,3.969669938,2242,4.356971154,1.532451923,89.60336538,4.507211538,3328,4.445797808,1.583434836,89.64677223,4.323995128,3284,5.314726841,1.573634204,87.88598575,5.225653207,3368,6.009913259,1.858736059,85.78066914,6.350681537,3228
Cherokee,4.070112894,1.663695781,90.16636958,4.099821747,3366,4.988764045,43.50561798,47.50561798,4,2225,5.530371714,43.38168631,47.23481414,3.853127833,2206,6.015399423,43.26275265,46.53512993,4.186717998,2078,6.866734486,45.11698881,44.35401831,3.662258393,1966
Clay,4.036557502,0.913937548,92.91698401,2.132520944,1313,4.473085671,0.758150114,92.87338893,1.895375284,1319,4.849884527,0.846805235,92.2247883,2.07852194,1299,6.030534351,0.916030534,90.38167939,2.671755725,1310,8.261886204,0.857365549,88.15276695,2.727981294,1283
Cleveland,4.757281553,25.71521036,64.17475728,5.352750809,15450,4.927995772,25.90831021,63.71383274,5.449861276,15138,5.221174764,26.37616191,63.10237985,5.300283473,15169,5.513434424,26.55626496,62.23729715,5.693003458,15036,6.069542555,27.17234758,60.29078938,6.467320486,14581
Columbus,8.266414738,31.8375059,52.41694221,7.479137144,6351,8.677888544,31.24693577,52.62297761,7.452198072,6119,9.448298646,31.25206475,52.29600264,7.003633961,6054,9.867649523,31.39554364,51.63343944,7.103367398,5969,10.32714412,29.76127321,52.04244032,7.869142352,5655
Craven,8.728484931,29.03598884,53.52745085,8.708075379,14699,8.837981867,29.35843311,52.32888089,9.474704132,14449,9.176486995,29.27968761,51.94198452,9.601840876,14341,9.596209603,28.97956297,51.63001202,9.794215402,14141,10.64767963,27.88781264,50.73731386,10.72719387,13834
Cumberland,11.43640118,44.71891464,33.08759673,10.75708744,51817,11.38505178,45.10112491,32.2433992,11.27042412,51471,11.88038899,45.2911532,31.62722942,11.20122839,50798,12.22937506,45.44122016,30.81311281,11.51629197,50485,13.46768395,45.09467125,29.07046417,12.36718063,50068
Currituck,4.343302991,5.201560468,80.0260078,10.42912874,3845,4.482581967,5.712090164,79.78995902,10.01536885,3904,4.925219185,5.647240846,80.6343476,8.793192367,3878,5.101275319,5.526381595,80.97024256,8.402100525,3999,5.875031118,4.680109534,80.38337067,9.061488673,4017
Dare,11.56421181,2.901196997,81.37553256,4.159058633,4929,12.50248855,2.727453713,80.11148716,4.658570575,5023,13.05745279,2.410606669,79.85134592,4.680594616,4978,14.12520064,2.548154093,78.17014446,5.156500803,4984,16.11337604,2.174335081,76.06290041,5.649388472,5151
Davidson,6.439412789,3.075391889,87.29037074,3.194824583,20095,6.930693069,3.211539428,86.05819973,3.799567774,19897,7.551858802,3.408226404,85.30202363,3.73789116,19717,8.272229681,3.469998967,84.27656718,3.981204172,19366,9.42951438,3.646078894,82.59206873,4.332337996,19089
Davie,11.91541905,5.988578484,77.41935484,4.676647631,6479,12.42973142,5.480949407,77.17051843,4.91880075,6404,12.70116756,5.774692332,76.61722941,4.906910697,6338,12.92108176,6.199588803,75.10675312,5.772576309,6323,13.83463542,6.591796875,73.40494792,6.168619788,6144
